country,pct_desert,desert_severity
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,5.618158038000165,Served
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,10.539582605977818,Minor Issues
Kenya,14.680672294123127,Minor Issues
Kenya,6.059803034364779,Served
Kenya,20.21297969473447,Minor Issues
Kenya,26.237239142945416,Minor Issues
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.11331943958467904,Served
Kenya,0.0,
Kenya,3.110067391184694,Served
Kenya,0.0,
Kenya,0.0,
Kenya,11.134271319323004,Minor Issues
Kenya,14.779029602659286,Minor Issues
Kenya,0.0,
Kenya,0.0,
Kenya,23.095571900065035,Minor Issues
Kenya,14.6503373958084,Minor Issues
Kenya,62.81237571056536,Severe Desert
Kenya,47.42469645968916,Moderate Desert
Kenya,18.927221578557628,Minor Issues
Kenya,0.0,
Kenya,10.136904335194576,Minor Issues
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,66.64702338445355,Severe Desert
Kenya,73.02593845620767,Severe Desert
Kenya,70.69713643025888,Severe Desert
Kenya,30.482954088273196,Moderate Desert
Kenya,71.96868401757672,Severe Desert
Kenya,69.52692501604024,Severe Desert
Kenya,84.43622448394413,Severe Desert
Kenya,9.91844464623638,Served
Kenya,0.0,
Kenya,18.013507637852758,Minor Issues
Kenya,6.522265881817492,Served
Kenya,0.0,
Kenya,13.269016738711695,Minor Issues
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,52.74200336360188,Moderate Desert
Kenya,38.48145386379222,Moderate Desert
Kenya,79.25250674834945,Severe Desert
Kenya,64.94479689955809,Severe Desert
Kenya,40.40287534602099,Moderate Desert
Kenya,74.6690394409112,Severe Desert
Kenya,56.4180322784574,Moderate Desert
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,0.0,
Kenya,35.88536704294218,Moderate Desert
Kenya,54.045796271711644,Moderate Desert
Kenya,59.86780613558902,Moderate Desert
Kenya,57.9815454651515,Moderate Desert
Kenya,75.60898497747823,Severe Desert
Kenya,65.27984042690561,Severe Desert
Kenya,30.045024094834957,Moderate Desert
Kenya,6.332578654418549,Served
Kenya,0.0,
Kenya,18.532560883533222,Minor Issues
Kenya,0.0,
Ethiopia,0.0,
Ethiopia,82.29739762450444,Severe Desert
Ethiopia,85.02802756438389,Severe Desert
Ethiopia,75.82186209152266,Severe Desert
Ethiopia,71.96498374471058,Severe Desert
Ethiopia,56.04485234422419,Moderate Desert
Ethiopia,29.35794754445677,Minor Issues
Ethiopia,7.93706660826036,Served
Ethiopia,0.0,
Ethiopia,7.470222650523783,Served
Ethiopia,8.317006123583687,Served
Ethiopia,15.54251533183098,Minor Issues
Ethiopia,12.488887829775326,Minor Issues
Ethiopia,10.602273655391551,Minor Issues
Ethiopia,7.15972247137183,Served
Ethiopia,27.985534392326706,Minor Issues
Ethiopia,5.729912465425376,Served
Ethiopia,37.589703902291504,Moderate Desert
Ethiopia,40.20548846855589,Moderate Desert
Ethiopia,63.46595944213816,Severe Desert
Ethiopia,67.74912795788424,Severe Desert
Ethiopia,10.889367308859365,Minor Issues
Ethiopia,74.1566614592883,Severe Desert
Ethiopia,33.52003445302416,Moderate Desert
Ethiopia,73.77327516961674,Severe Desert
Ethiopia,0.0,
Ethiopia,20.100383552835257,Minor Issues
Ethiopia,63.80794017254306,Severe Desert
Ethiopia,58.887209158359276,Moderate Desert
Ethiopia,10.799153446913278,Minor Issues
Ethiopia,42.33972077600142,Moderate Desert
Ethiopia,17.267618133098267,Minor Issues
Ethiopia,18.40615019301619,Minor Issues
Ethiopia,15.564202532688217,Minor Issues
Ethiopia,32.73848054204501,Moderate Desert
Ethiopia,12.747862436234994,Minor Issues
Ethiopia,40.131734197113616,Moderate Desert
Ethiopia,23.472751257107088,Minor Issues
Ethiopia,12.558024248082681,Minor Issues
Ethiopia,48.495344691776424,Moderate Desert
Ethiopia,11.130352499076242,Minor Issues
Ethiopia,12.892085711328194,Minor Issues
Ethiopia,16.48201027267881,Minor Issues
Ethiopia,93.22703059246828,Severe Desert
Ethiopia,98.1212541315386,Severe Desert
Ethiopia,61.49769206697124,Severe Desert
Ethiopia,94.28530739025695,Severe Desert
Ethiopia,95.12704454564938,Severe Desert
Ethiopia,91.30939321837148,Severe Desert
Ethiopia,90.11243062594613,Severe Desert
Ethiopia,95.17285708361776,Severe Desert
